50	5		
17	71	120	10
56	13	120	17
40	29	120	20
53	6	120	2
45	25	120	12
82	65	120	8
47	80	120	13
60	70	120	11
39	65	120	7
67	93	120	3
84	6	120	6
86	18	120	5
80	42	120	10
82	34	120	17
20	95	120	18
85	75	120	7
10	90	120	10
73	100	120	3
15	36	120	7
65	51	120	5
57	46	120	4
73	12	120	20
58	65	120	3
84	73	120	4
35	51	120	19
38	73	120	6
70	89	120	17
70	56	120	5
7	63	120	6
93	90	120	10
77	14	120	15
55	18	120	15
17	45	120	6
4	38	120	7
57	64	120	20
26	45	120	16
93	62	120	1
63	68	120	19
48	90	120	2
100	94	120	16
17	59	120	9
100	57	120	2
29	81	120	19
15	39	120	4
69	44	120	15
4	4	120	5
69	61	120	4
39	67	120	5
29	58	120	18
70	69	120	19
