/*********************************************
 * OPL 12.4 Data
 * Author: jrivera6
 * Creation Date: 7/04/2022 at 9:47:42
 *********************************************/

 n = 10;
 P = 4;
 serv = 60000;
 
 q = [1 1 1 1 1 1 1 1 1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1];
 
d=[[10	14793	6808	11085	9946	9614	5703	4854	9349	12315	0	14793	6808	11085	9946	9614	5703	4854	9349	12315	8526]
[14793	10	13542	3813	7050	5546	12219	11808	8163	6430	14793	0	13542	3813	7050	5546	12219	11808	8163	6430	6891]
[6808	13542	10	9924	6644	8157	1815	2926	12130	14221	6808	13542	0	9924	6644	8157	1815	2926	12130	14221	10017]
[11085	3813	9924	10	3883	1779	8491	8016	6196	6054	11085	3813	9924	0	3883	1779	8491	8016	6196	6054	4060]
[9946	7050	6644	3883	10	2546	5628	5626	8828	9609	9946	7050	6644	3883	0	2546	5628	5626	8828	9609	6313]
[9614	5546	8157	1779	2546	10	6714	6262	6416	7068	9614	5546	8157	1779	2546	0	6714	6262	6416	7068	3948]
[5703	12219	1815	8491	5628	6714	10	1158	10322	12466	5703	12219	1815	8491	5628	6714	0	1158	10322	12466	8242]
[4854	11808	2926	8016	5626	6262	1158	10	9288	11558	4854	11808	2926	8016	5626	6262	1158	0	9288	11558	7312]
[9349	8163	12130	6196	8828	6416	10322	9288	10	3087	9349	8163	12130	6196	8828	6416	10322	9288	0	3087	2518]
[12315	6430	14221	6054	9609	7068	12466	11558	3087	10	12315	6430	14221	6054	9609	7068	12466	11558	3087	0	4246]
[0	14793	6808	11085	9946	9614	5703	4854	9349	12315	10	14793	6808	11085	9946	9614	5703	4854	9349	12315	8526]
[14793	0	13542	3813	7050	5546	12219	11808	8163	6430	14793	10	13542	3813	7050	5546	12219	11808	8163	6430	6891]
[6808	13542	0	9924	6644	8157	1815	2926	12130	14221	6808	13542	10	9924	6644	8157	1815	2926	12130	14221	10017]
[11085	3813	9924	0	3883	1779	8491	8016	6196	6054	11085	3813	9924	10	3883	1779	8491	8016	6196	6054	4060]
[9946	7050	6644	3883	0	2546	5628	5626	8828	9609	9946	7050	6644	3883	10	2546	5628	5626	8828	9609	6313]
[9614	5546	8157	1779	2546	0	6714	6262	6416	7068	9614	5546	8157	1779	2546	10	6714	6262	6416	7068	3948]
[5703	12219	1815	8491	5628	6714	0	1158	10322	12466	5703	12219	1815	8491	5628	6714	10	1158	10322	12466	8242]
[4854	11808	2926	8016	5626	6262	1158	0	9288	11558	4854	11808	2926	8016	5626	6262	1158	10	9288	11558	7312]
[9349	8163	12130	6196	8828	6416	10322	9288	0	3087	9349	8163	12130	6196	8828	6416	10322	9288	10	3087	2518]
[12315	6430	14221	6054	9609	7068	12466	11558	3087	0	12315	6430	14221	6054	9609	7068	12466	11558	3087	10	4246]
[8526	6891	10017	4060	6313	3948	8242	7312	2518	4246	8526	6891	10017	4060	6313	3948	8242	7312	2518	4246	10]];

a=[[0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0]
[0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	]
[0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	]
[0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	]
[0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	]
[0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	]
[0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	]
[0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	]
[0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	]
[0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	]
[4796	18833	7242	15034	12348	13397	7321	7551	13132	16199		0	0	0	0	0	0	0	0	0	0]
[18832	25581	13671	21921	18777	20147	13750	14897	18879	20676		0	0	0	0	0	0	0	0	0	0]
[7241	13671	1761	10011	6867	8237	1840	2987	12136	14223		0	0	0	0	0	0	0	0	0	0]
[15034	21921	10011	18261	15117	16487	10090	11237	17105	18901		0	0	0	0	0	0	0	0	0	0]
[12347	18777	6867	15117	11973	13343	6946	8093	17242	19329		0	0	0	0	0	0	0	0	0	0]
[13396	20147	8237	16486	13342	14712	8316	9463	17117	18913		0	0	0	0	0	0	0	0	0	0]
[7321	13751	1841	10090	6946	8316	1920	3067	12215	14303		0	0	0	0	0	0	0	0	0	0]
[7550	14898	2988	11238	8094	9464	3067	4214	13363	15450		0	0	0	0	0	0	0	0	0	0]
[13130	18879	12137	17104	17242	17117	12216	13363	10923	12720		0	0	0	0	0	0	0	0	0	0]
[16199	20676	14223	18901	19329	18914	14302	15449	12720	14517		0	0	0	0	0	0	0	0	0	0]];
