1,0,0,0,3,
2,-108,76,-1,
3,372,-432,1,
4,-57,388,8,
5,286,409,1,
6,424,169,4,
7,58,-497,-4,
8,221,118,-6,
9,470,380,1,
10,-431,-422,3,
11,305,-58,0,
12,457,196,6,
13,493,269,-2,
14,281,-259,0,
15,-172,-484,-6,
16,263,-258,-7,
17,-427,153,-10,
18,351,314,-4,
19,478,120,4,
20,-415,-203,-3,
21,20,-92,0,
22,113,237,5,
23,57,447,-3,
24,-322,-129,1,
25,253,-27,-4,
26,-387,-243,7,
27,-72,212,10,
28,246,-337,-1,
29,71,279,-7,
30,351,-457,-7,
31,253,100,9,
32,-65,26,5,
33,324,-23,-7,
34,-354,-28,-2,
35,332,270,0,
36,276,-117,0,
37,-389,-49,8,
38,191,-497,-7,
39,189,-47,5,
40,361,-152,3,
41,-322,-497,-5,
42,-320,248,5,
43,-50,-235,-1,
44,143,-206,8,
45,-459,365,6,
46,-370,-388,-5,
47,311,264,-4,
48,382,49,-9,
49,-463,-424,-1,
50,-408,354,3,
