1,0,0,-5,7,
2,-108,76,6,
3,372,-432,-3,
4,-57,388,2,
5,286,409,-4,
6,424,169,7,
7,58,-497,10,
8,221,118,0,
9,470,380,-6,
10,-431,-422,-6,
11,305,-58,9,
12,457,196,6,
13,493,269,-7,
14,281,-259,-1,
15,-172,-484,0,
16,263,-258,1,
17,-427,153,9,
18,351,314,-7,
19,478,120,6,
20,-415,-203,4,
21,20,-92,-5,
22,113,237,6,
23,57,447,-1,
24,-322,-129,8,
25,253,-27,7,
26,-387,-243,-5,
27,-72,212,-3,
28,246,-337,-8,
29,71,279,-1,
30,351,-457,4,
31,253,100,-6,
32,-65,26,-10,
33,324,-23,-6,
34,-354,-28,0,
35,332,270,2,
36,276,-117,-8,
37,-389,-49,-9,
38,191,-497,10,
39,189,-47,-2,
40,361,-152,-2,
41,-322,-497,0,
42,-320,248,0,
43,-50,-235,9,
44,143,-206,-8,
45,-459,365,-10,
46,-370,-388,-1,
47,311,264,-1,
48,382,49,5,
49,-463,-424,-5,
50,-408,354,-6,
51,109,-5,8,
52,-410,-226,-3,
53,-286,306,9,
54,162,-185,-2,
55,-248,395,-5,
56,477,120,0,
57,466,-460,1,
58,155,243,3,
59,-324,-359,6,
60,-283,335,1,
