1,0,0,-9,0,
2,220,-461,-5,
3,-62,-261,-2,
4,298,356,3,
5,-214,-134,7,
6,113,-49,2,
7,-399,354,-1,
8,-218,-357,2,
9,422,38,9,
10,-214,446,-6,
11,181,498,-4,
12,392,477,9,
13,407,156,-4,
14,-176,-42,-10,
15,-259,382,-8,
16,-221,226,-5,
17,91,-53,5,
18,88,341,9,
19,-262,408,-4,
20,118,112,-5,
21,368,-43,-4,
22,379,34,0,
23,388,-276,8,
24,85,98,6,
25,-388,-287,0,
26,-433,79,8,
27,-95,130,-2,
28,6,-220,7,
29,150,-111,-7,
30,-323,-170,5,
31,-235,-168,-3,
32,-363,-385,-9,
33,-397,429,-8,
34,-95,153,-5,
35,357,-162,8,
36,273,99,0,
37,-286,-402,9,
38,204,184,-3,
39,443,-239,4,
40,-124,248,7,
41,-495,372,-9,
42,-347,174,0,
43,5,320,7,
44,-313,-260,8,
45,438,305,-8,
46,-164,-476,-8,
47,-106,34,1,
48,75,-479,-6,
49,462,484,0,
50,-434,125,-1,
51,331,70,-1,
52,-263,-332,-10,
53,137,-250,0,
54,228,120,1,
55,-176,201,8,
56,275,423,7,
57,-437,312,0,
58,-308,66,-7,
59,248,-380,-9,
60,121,-449,0,
61,469,-165,-8,
62,78,25,3,
63,32,-453,0,
64,-227,-41,8,
65,-365,31,5,
66,-64,82,-6,
67,-339,168,-2,
68,143,315,-6,
69,28,477,0,
70,-405,324,-3,
71,-255,269,5,
72,-478,325,-9,
73,-203,308,-6,
74,-236,227,-2,
75,-437,141,9,
76,-419,-452,8,
77,-171,248,7,
78,-316,-386,6,
79,244,260,5,
80,-5,392,-9,
81,-366,-138,-2,
82,152,73,0,
83,-29,-245,10,
84,475,-480,-5,
85,323,322,1,
86,-47,411,-9,
87,-343,-251,3,
88,-24,412,1,
89,220,-63,7,
90,-244,-111,-1,
91,341,-52,-7,
92,-6,355,3,
93,342,256,0,
94,-332,-295,-9,
95,57,317,-6,
96,428,-498,6,
97,52,-285,2,
98,-220,-416,7,
99,347,175,-3,
100,300,-485,-3,
101,38,166,-1,
102,453,61,3,
103,-139,376,5,
104,351,-413,4,
105,234,23,3,
106,-242,-44,-5,
107,-402,-31,0,
108,-358,276,-1,
109,-322,441,-9,
110,-218,244,8,
111,-377,117,3,
112,113,-352,0,
113,24,-108,-9,
114,196,-367,-1,
115,-193,-434,-7,
116,380,-324,-6,
117,-266,-472,6,
118,448,-446,4,
119,-337,-17,-1,
120,245,202,8,
121,246,-43,-5,
122,360,92,3,
123,-186,315,7,
124,155,295,6,
125,-481,-434,3,
126,284,78,-10,
127,95,389,-3,
128,-94,-291,5,
129,-2,177,-6,
130,-22,-165,6,
131,-474,-379,0,
132,-247,131,-9,
133,-254,-127,-3,
134,-438,467,-4,
135,-10,-342,6,
136,-389,360,-6,
137,441,76,0,
138,427,-135,1,
