1,0,0,-3,10,
2,220,-461,10,
3,-62,-261,6,
4,298,356,4,
5,-214,-134,-8,
6,113,-49,0,
7,-399,354,5,
8,-218,-357,-7,
9,422,38,4,
10,-214,446,-4,
11,181,498,1,
12,392,477,0,
13,407,156,-3,
14,-176,-42,-2,
15,-259,382,4,
16,-221,226,2,
17,91,-53,4,
18,88,341,4,
19,-262,408,0,
20,118,112,-3,
21,368,-43,5,
22,379,34,-5,
23,388,-276,0,
24,85,98,-4,
25,-388,-287,0,
26,-433,79,5,
27,-95,130,0,
28,6,-220,8,
29,150,-111,-3,
30,-323,-170,-6,
31,-235,-168,0,
32,-363,-385,3,
33,-397,429,2,
34,-95,153,2,
35,357,-162,7,
36,273,99,-6,
37,-286,-402,0,
38,204,184,7,
39,443,-239,-8,
40,-124,248,0,
41,-495,372,-7,
42,-347,174,-6,
43,5,320,-4,
44,-313,-260,2,
45,438,305,-9,
46,-164,-476,-9,
47,-106,34,2,
48,75,-479,-5,
49,462,484,4,
50,-434,125,1,
