1,0,0,-2,9,
2,220,-461,-4,
3,-62,-261,0,
4,298,356,-2,
5,-214,-134,0,
6,113,-49,6,
7,-399,354,1,
8,-218,-357,9,
9,422,38,-1,
10,-214,446,-6,
11,181,498,0,
12,392,477,5,
13,407,156,3,
14,-176,-42,3,
15,-259,382,8,
16,-221,226,-5,
17,91,-53,0,
18,88,341,9,
19,-262,408,-7,
20,118,112,0,
21,368,-43,-5,
22,379,34,-6,
23,388,-276,-3,
24,85,98,3,
25,-388,-287,-8,
26,-433,79,-8,
27,-95,130,3,
28,6,-220,-4,
29,150,-111,4,
30,-323,-170,3,
31,-235,-168,8,
32,-363,-385,-7,
33,-397,429,6,
34,-95,153,9,
35,357,-162,3,
36,273,99,-2,
37,-286,-402,-8,
38,204,184,7,
39,443,-239,-2,
40,-124,248,-2,
41,-495,372,0,
42,-347,174,-2,
43,5,320,-5,
44,-313,-260,-3,
45,438,305,0,
46,-164,-476,4,
47,-106,34,7,
48,75,-479,3,
49,462,484,-7,
50,-434,125,1,
51,331,70,10,
52,-263,-332,-1,
53,137,-250,-2,
54,228,120,-4,
55,-176,201,-6,
56,275,423,3,
57,-437,312,1,
58,-308,66,-4,
59,248,-380,-5,
60,121,-449,-7,
